product_id,product_name,category,price,initial_stock,description,image_path,rating,reviews,badge,seller_id,ingest_timestamp
P001,Wireless Earbuds Pro,Audio,2999,10,30hr battery · Active Noise Cancellation · IPX5 waterproof · Touch controls · 10-min fast charge = 2hr play,/products/p001.jpg,4.5,2847,Best Seller,SELLER_001,2026-04-29 18:23:07 UTC
P002,20W Fast Charger,Accessories,799,10,GaN III technology · USB-C Power Delivery · Foldable prongs · Universal compatibility · Charges phone to 50% in 30 min,/products/p002.jpg,4.3,1203,,SELLER_001,2026-04-29 18:23:07 UTC
P003,Smartwatch Series X,Wearables,8499,10,"1.45"" AMOLED always-on · GPS · SpO2 + heart rate · 7-day battery · 50m water resistant · Aluminium case",/products/p003.png,4.6,5120,New,SELLER_001,2026-04-29 18:23:07 UTC
P004,Mechanical Keyboard,Peripherals,3499,10,TKL 87-key · Red linear switches · Per-key RGB · USB-C detachable cable · Aluminium top plate · N-key rollover,/products/p004.jpg,4.7,934,,SELLER_001,2026-04-29 18:23:07 UTC
P005,Portable Power Bank 20000mAh,Accessories,1799,10,65W bi-directional PD · Dual USB-C + USB-A · Charges laptop · Digital % display · Slim 15mm profile,/products/p005.jpg,4.4,3612,,SELLER_001,2026-04-29 18:23:07 UTC
P006,Noise-Cancelling Headphones,Audio,5999,10,40hr ANC playback · Hi-Res Audio certified · Memory foam earcups · Bluetooth 5.3 · Foldable · 3-mode EQ,/products/p006.jpg,4.8,7841,Top Rated,SELLER_001,2026-04-29 18:23:07 UTC
P007,Portable Bluetooth Speaker,Audio,2299,10,360 degree surround sound · 24hr battery · IPX7 waterproof · Built-in powerbank · Dual stereo pairing · Bass radiator,/products/p007.jpg,4.4,2103,,SELLER_001,2026-04-29 18:23:07 UTC
P008,USB-C Hub 7-in-1,Accessories,1499,10,4K HDMI · 100W PD passthrough · USB-A 3.0 x3 · SD + MicroSD slots · Plug and play · Aluminium shell,/products/p008.jpg,4.2,876,New,SELLER_001,2026-04-29 18:23:07 UTC
P009,Gaming Mouse RGB,Peripherals,1299,10,16000 DPI optical sensor · 7 programmable buttons · Per-zone RGB · 80hr wireless battery · Ergonomic right-hand grip,/products/p009.jpg,4.5,1544,,SELLER_001,2026-04-29 18:23:07 UTC
P010,4K Webcam Pro,Peripherals,4999,10,4K 30fps · 1080p 60fps · AI auto-framing · Built-in noise-cancelling mic · Low-light correction · Privacy cover,/products/p010.jpg,4.3,621,,SELLER_001,2026-04-29 18:23:07 UTC
P011,Fitness Tracker Band,Wearables,3299,10,"1.47"" AMOLED · 14-day battery · 100+ workout modes · 24/7 heart rate and SpO2 · Sleep tracking · 5ATM swim-proof",/products/p011.jpg,4.4,2890,,SELLER_001,2026-04-29 18:23:07 UTC
P012,Smart LED Desk Lamp,Smart Home,1999,10,Voice and app control · 4 colour temperatures · 10 brightness levels · USB-A charging port · Eye-care flicker-free · Touch dimmer,/products/p012.jpg,4.3,1102,,SELLER_001,2026-04-29 18:23:07 UTC
